Titles,Dates,Sources
Cô gái Hà Nội một mình đạp xe vào Quảng Nam,"Thứ tư, 18/11/2020, 07:37 (GMT+7)",https://vnexpress.net/co-gai-ha-noi-mot-minh-dap-xe-vao-quang-nam-4191518.html
Bay TP HCM đi Cà Mau chỉ 99.000 đồng,"Thứ tư, 18/11/2020, 20:36 (GMT+7)",https://vnexpress.net/bay-tp-hcm-di-ca-mau-chi-99-000-dong-4193399.html
Đội xe đưa khách lên núi LangBiang bị đình chỉ,"Thứ tư, 18/11/2020, 16:25 (GMT+7)",https://vnexpress.net/doi-xe-dua-khach-len-nui-langbiang-bi-dinh-chi-4193598.html
Loạt ưu đãi cho tuần trăng mật tại Sa Pa,"Thứ tư, 18/11/2020, 14:05 (GMT+7)",https://vnexpress.net/loat-uu-dai-cho-tuan-trang-mat-tai-sa-pa-4192807.html
Khách sạn nằm trong lòng núi đá sa thạch cổ,"Thứ tư, 18/11/2020, 02:08 (GMT+7)",https://vnexpress.net/khach-san-nam-trong-long-nui-da-sa-thach-co-4192489.html
7 tỉnh thành trọng điểm liên kết phát triển du lịch,"Thứ tư, 18/11/2020, 20:19 (GMT+7)",https://vnexpress.net/7-tinh-thanh-trong-diem-lien-ket-phat-trien-du-lich-4193748.html
Hàng trăm tour giảm giá đến 40% tại hội chợ du lịch,"Thứ tư, 18/11/2020, 14:41 (GMT+7)",https://vnexpress.net/hang-tram-tour-giam-gia-den-40-tai-hoi-cho-du-lich-4193571.html
"​Chuyên gia, travel blogger thảo luận tiềm năng du lịch Phú Quốc","Thứ tư, 18/11/2020, 14:30 (GMT+7)",https://vnexpress.net/chuyen-gia-travel-blogger-thao-luan-tiem-nang-du-lich-phu-quoc-4193035.html
Bamboo Airways tặng vé 0 đồng dịp khai trương phòng vé Đà Nẵng,"Thứ tư, 18/11/2020, 14:00 (GMT+7)",https://vnexpress.net/bamboo-airways-tang-ve-0-dong-dip-khai-truong-phong-ve-da-nang-4193439.html
Tổng thống Mỹ có cần hộ chiếu?,"Thứ ba, 17/11/2020, 20:03 (GMT+7)",https://vnexpress.net/tong-thong-my-co-can-ho-chieu-4192821.html
Vừa lướt sóng vừa vẽ tranh tường,"Thứ ba, 17/11/2020, 19:00 (GMT+7)",https://vnexpress.net/vua-luot-song-vua-ve-tranh-tuong-4191853.html
Bay khinh khí cầu cao bằng tòa nhà 6 tầng,"Thứ ba, 17/11/2020, 15:24 (GMT+7)",https://vnexpress.net/bay-khinh-khi-cau-cao-bang-toa-nha-6-tang-4192643.html
"Resort, khách sạn đua nhau giảm giá","Thứ ba, 17/11/2020, 14:05 (GMT+7)",https://vnexpress.net/resort-khach-san-dua-nhau-giam-gia-4192472.html
Những cái nhất trên thế giới,"Thứ ba, 17/11/2020, 12:03 (GMT+7)",https://vnexpress.net/nhung-cai-nhat-tren-the-gioi-4192503.html
Lăng mộ bí ẩn thành điểm check-in,"Thứ ba, 17/11/2020, 10:11 (GMT+7)",https://vnexpress.net/lang-mo-bi-an-thanh-diem-check-in-4192287.html
Đến Hải Phòng nhất định phải thử những món nào?,"Thứ ba, 17/11/2020, 13:33 (GMT+7)",https://vnexpress.net/den-hai-phong-nhat-dinh-phai-thu-nhung-mon-nao-4192871.html
Không nhịn được cười khi 'bị đánh' trên máy bay,"Thứ ba, 17/11/2020, 13:06 (GMT+7)",https://vnexpress.net/khong-nhin-duoc-cuoi-khi-bi-danh-tren-may-bay-4192718.html
Ốc sốt trứng muối lạ miệng hút khách,"Thứ ba, 17/11/2020, 07:37 (GMT+7)",https://vnexpress.net/oc-sot-trung-muoi-la-mieng-hut-khach-4190397.html
Bên trong chuyến du thuyền không đi tới đâu,"Thứ ba, 17/11/2020, 02:08 (GMT+7)",https://vnexpress.net/ben-trong-chuyen-du-thuyen-khong-di-toi-dau-4192314.html
Fansipan - điểm đến cuốn hút du khách quanh năm,"Thứ ba, 17/11/2020, 11:30 (GMT+7)",https://vnexpress.net/fansipan-diem-den-cuon-hut-du-khach-quanh-nam-4192727.html
Phú Quốc - điểm đến được báo nước ngoài ca ngợi,"Thứ ba, 17/11/2020, 08:00 (GMT+7)",https://vnexpress.net/phu-quoc-diem-den-duoc-bao-nuoc-ngoai-ca-ngoi-4192514.html
61% khách chưa sẵn sàng du lịch đến khi có vaccine,"Thứ hai, 16/11/2020, 19:00 (GMT+7)",https://vnexpress.net/61-khach-chua-san-sang-du-lich-den-khi-co-vaccine-4192637.html
Lái máy bay như phi công thực thụ ngay tại TP HCM,"Thứ hai, 16/11/2020, 15:03 (GMT+7)",https://vnexpress.net/lai-may-bay-nhu-phi-cong-thuc-thu-ngay-tai-tp-hcm-4192334.html
Giải đáp 6 điều khách du lịch thường thắc mắc,"Thứ hai, 16/11/2020, 20:03 (GMT+7)",https://vnexpress.net/giai-dap-6-dieu-khach-du-lich-thuong-thac-mac-4192305.html
Sân golf Hạ Long lên sóng truyền hình Mỹ,"Thứ hai, 16/11/2020, 08:05 (GMT+7)",https://vnexpress.net/san-golf-ha-long-len-song-truyen-hinh-my-4192129.html
Kiến trúc đa văn hóa trong toà nhà trăm tuổi,"Thứ hai, 16/11/2020, 02:08 (GMT+7)",https://vnexpress.net/kien-truc-da-van-hoa-trong-toa-nha-tram-tuoi-4191525.html
Nghỉ dưỡng không giới hạn ở 'thiên đường' với 30.000 USD,"Thứ hai, 16/11/2020, 13:06 (GMT+7)",https://vnexpress.net/nghi-duong-khong-gioi-han-o-thien-duong-voi-30-000-usd-4192401.html
Nơi có đài phun sôcôla lớn nhất thế giới,"Thứ hai, 16/11/2020, 11:01 (GMT+7)",https://vnexpress.net/noi-co-dai-phun-socola-lon-nhat-the-gioi-4190401.html
Lâu đài lớn nhất thế giới,"Chủ nhật, 15/11/2020, 20:03 (GMT+7)",https://vnexpress.net/lau-dai-lon-nhat-the-gioi-4191370.html
6 địa chỉ có cà phê trứng ngon cho ngày se lạnh,"Chủ nhật, 15/11/2020, 14:05 (GMT+7)",https://vnexpress.net/6-dia-chi-co-ca-phe-trung-ngon-cho-ngay-se-lanh-4191124.html
Khách Tây ngỡ ngàng khi không được nhường đường ở Việt Nam,"Chủ nhật, 15/11/2020, 11:30 (GMT+7)",https://vnexpress.net/khach-tay-ngo-ngang-khi-khong-duoc-nhuong-duong-o-viet-nam-4191324.html
Ngôi đình gần 200 tuổi thờ người sáng lập vùng đất Thủ Đức,"Chủ nhật, 15/11/2020, 02:08 (GMT+7)",https://vnexpress.net/ngoi-dinh-gan-200-tuoi-tho-nguoi-sang-lap-vung-dat-thu-duc-4190675.html
Dãy núi cầu vồng ở Trung Quốc,"Chủ nhật, 15/11/2020, 19:00 (GMT+7)",https://vnexpress.net/day-nui-cau-vong-o-trung-quoc-4191838.html
Chó lao xuống biển đuổi cá mập,"Chủ nhật, 15/11/2020, 13:28 (GMT+7)",https://vnexpress.net/cho-lao-xuong-bien-duoi-ca-map-4192036.html
Mùa hoa cải hút khách ở Australia,"Chủ nhật, 15/11/2020, 08:09 (GMT+7)",https://vnexpress.net/mua-hoa-cai-hut-khach-o-australia-4190156.html
Thưởng thức salad kiểu Hawaii ở Hà Nội,"Chủ nhật, 15/11/2020, 07:37 (GMT+7)",https://vnexpress.net/thuong-thuc-salad-kieu-hawaii-o-ha-noi-4189714.html
Vì sao người Nhật đặc biệt kỳ thị người xăm mình?,"Thứ bảy, 14/11/2020, 20:03 (GMT+7)",https://vnexpress.net/vi-sao-nguoi-nhat-dac-biet-ky-thi-nguoi-xam-minh-4191832.html
Tự gây họa khi lao đầu xuống nước,"Thứ bảy, 14/11/2020, 19:00 (GMT+7)",https://vnexpress.net/tu-gay-hoa-khi-lao-dau-xuong-nuoc-4191820.html
Rủ nhau lên Đà Lạt check-in hoa dã quỳ,"Thứ bảy, 14/11/2020, 14:05 (GMT+7)",https://vnexpress.net/ru-nhau-len-da-lat-check-in-hoa-da-quy-4190656.html
Nữ du khách đơn độc hai ngày dưới trời -29 độ C,"Thứ bảy, 14/11/2020, 08:53 (GMT+7)",https://vnexpress.net/nu-du-khach-don-doc-hai-ngay-duoi-troi-29-do-c-4191596.html
Burger 'đĩa bay' ở Sài Gòn,"Thứ bảy, 14/11/2020, 07:37 (GMT+7)",https://vnexpress.net/burger-dia-bay-o-sai-gon-4189964.html
Sự kiện nghệ thuật cho du khách tại Hà Nội,"Thứ bảy, 14/11/2020, 15:03 (GMT+7)",https://vnexpress.net/su-kien-nghe-thuat-cho-du-khach-tai-ha-noi-4191177.html
"Sư tử bị bỏ mặc, chết trong vườn thú","Thứ bảy, 14/11/2020, 12:50 (GMT+7)",https://vnexpress.net/su-tu-bi-bo-mac-chet-trong-vuon-thu-4191730.html
Quán cà phê hơn 100 tuổi,"Thứ bảy, 14/11/2020, 10:13 (GMT+7)",https://vnexpress.net/quan-ca-phe-hon-100-tuoi-4190887.html
Mùa thu nhuộm màu khắp thế giới,"Thứ bảy, 14/11/2020, 02:08 (GMT+7)",https://vnexpress.net/mua-thu-nhuom-mau-khap-the-gioi-4191008.html
Đặc sản làm quà của Phú Thọ là gì?,"Thứ bảy, 14/11/2020, 13:33 (GMT+7)",https://vnexpress.net/dac-san-lam-qua-cua-phu-tho-la-gi-4191272.html
Vì sao tiếp viên hàng không tô son đỏ?,"Thứ sáu, 13/11/2020, 20:03 (GMT+7)",https://vnexpress.net/vi-sao-tiep-vien-hang-khong-to-son-do-4191247.html
5 điểm không nên bỏ lỡ khi đến Phú Thọ,"Thứ sáu, 13/11/2020, 18:01 (GMT+7)",https://vnexpress.net/5-diem-khong-nen-bo-lo-khi-den-phu-tho-4191473.html
Bi hài chuyện khách Tây tiêu tiền Việt,"Thứ sáu, 13/11/2020, 11:39 (GMT+7)",https://vnexpress.net/bi-hai-chuyen-khach-tay-tieu-tien-viet-4191154.html
Động thái bất thường của TripAdvisor vì một khách sạn,"Thứ sáu, 13/11/2020, 14:34 (GMT+7)",https://vnexpress.net/dong-thai-bat-thuong-cua-tripadvisor-vi-mot-khach-san-4191078.html
Hấp 20.000 con cua cùng lúc để lập kỷ lục Guinness,"Thứ sáu, 13/11/2020, 09:08 (GMT+7)",https://vnexpress.net/hap-20-000-con-cua-cung-luc-de-lap-ky-luc-guinness-4190835.html
Khách du lịch tới Phú Quốc đang tăng,"Thứ sáu, 13/11/2020, 08:09 (GMT+7)",https://vnexpress.net/khach-du-lich-toi-phu-quoc-dang-tang-4190753.html
Công trình nổi tiếng nhìn từ trên cao,"Thứ sáu, 13/11/2020, 02:08 (GMT+7)",https://vnexpress.net/cong-trinh-noi-tieng-nhin-tu-tren-cao-4189832.html
Vũng Tàu đẩy mạnh phát triển du lịch cuối 2020,"Thứ sáu, 13/11/2020, 15:51 (GMT+7)",https://vnexpress.net/vung-tau-day-manh-phat-trien-du-lich-cuoi-2020-4190235.html
5 sự kiện kích cầu du lịch do VnExpress tổ chức,"Thứ sáu, 13/11/2020, 16:00 (GMT+7)",https://vnexpress.net/5-su-kien-kich-cau-du-lich-do-vnexpress-to-chuc-4190666.html
Hoya sâm biển - món ngon Nhật Bản,"Thứ sáu, 13/11/2020, 08:00 (GMT+7)",https://vnexpress.net/hoya-sam-bien-mon-ngon-nhat-ban-4184108.html
Những biển cảnh báo khiến du khách dở khóc dở cười,"Thứ năm, 12/11/2020, 20:00 (GMT+7)",https://vnexpress.net/nhung-bien-canh-bao-khien-du-khach-do-khoc-do-cuoi-4190677.html
Loạt sự cố trang phục của khách đi máy bay,"Thứ năm, 12/11/2020, 19:00 (GMT+7)",https://vnexpress.net/loat-su-co-trang-phuc-cua-khach-di-may-bay-4190798.html
‘Ốc đảo’ xương rồng ngay tại Hà Nội,"Thứ năm, 12/11/2020, 15:03 (GMT+7)",https://vnexpress.net/oc-dao-xuong-rong-ngay-tai-ha-noi-4190373.html
Phố đi bộ Kỳ Lừa đông khách vượt dự kiến,"Thứ năm, 12/11/2020, 14:05 (GMT+7)",https://vnexpress.net/pho-di-bo-ky-lua-dong-khach-vuot-du-kien-4190275.html
Khách đổ xô đến quán bình dân Biden từng ăn,"Thứ năm, 12/11/2020, 13:00 (GMT+7)",https://vnexpress.net/khach-do-xo-den-quan-binh-dan-biden-tung-an-4190605.html
Người thừa kế ngai vàng có cần xin visa du lịch?,"Thứ năm, 12/11/2020, 10:23 (GMT+7)",https://vnexpress.net/nguoi-thua-ke-ngai-vang-co-can-xin-visa-du-lich-4190252.html
Về miền đất Phật tưởng nhớ Phật hoàng Trần Nhân Tông,"Thứ năm, 12/11/2020, 17:00 (GMT+7)",https://vnexpress.net/ve-mien-dat-phat-tuong-nho-phat-hoang-tran-nhan-tong-4190411.html
Phố đi bộ mới của Bangkok,"Thứ năm, 12/11/2020, 08:41 (GMT+7)",https://vnexpress.net/pho-di-bo-moi-cua-bangkok-4190452.html
Bún măng bò xuất xứ phương Tây,"Thứ năm, 12/11/2020, 07:37 (GMT+7)",https://vnexpress.net/bun-mang-bo-xuat-xu-phuong-tay-4188936.html
Đà Lạt lập đông,"Thứ năm, 12/11/2020, 02:08 (GMT+7)",https://vnexpress.net/da-lat-lap-dong-4189730.html
"Thất nghiệp, phi công Malaysia đi bán mì","Thứ tư, 11/11/2020, 20:03 (GMT+7)",https://vnexpress.net/that-nghiep-phi-cong-malaysia-di-ban-mi-4190210.html
Máy bay hạ cánh khẩn vì khách gây rối,"Thứ tư, 11/11/2020, 19:00 (GMT+7)",https://vnexpress.net/may-bay-ha-canh-khan-vi-khach-gay-roi-4190042.html
Chả rươi được ca ngợi trên báo quốc tế,"Thứ tư, 11/11/2020, 14:05 (GMT+7)",https://vnexpress.net/cha-ruoi-duoc-ca-ngoi-tren-bao-quoc-te-4189834.html
Khách sạn bốn mặt tiền bị bỏ hoang,"Thứ tư, 11/11/2020, 11:13 (GMT+7)",https://vnexpress.net/khach-san-bon-mat-tien-bi-bo-hoang-4189211.html
‘Thiên đường hoa cỏ lau’ ở cột mốc biên giới,"Thứ tư, 11/11/2020, 02:08 (GMT+7)",https://vnexpress.net/thien-duong-hoa-co-lau-o-cot-moc-bien-gioi-4189530.html
Lễ hội văn hóa thổ cẩm sắp tổ chức tại Đắk Nông,"Thứ tư, 11/11/2020, 16:03 (GMT+7)",https://vnexpress.net/le-hoi-van-hoa-tho-cam-sap-to-chuc-tai-dak-nong-4189981.html
Chuyên gia đánh giá khả năng phục hồi của du lịch 2021,"Thứ tư, 11/11/2020, 15:03 (GMT+7)",https://vnexpress.net/chuyen-gia-danh-gia-kha-nang-phuc-hoi-cua-du-lich-2021-4189088.html
Chỉ 25% hành khách sẵn sàng đi máy bay trở lại,"Thứ tư, 11/11/2020, 13:06 (GMT+7)",https://vnexpress.net/chi-25-hanh-khach-san-sang-di-may-bay-tro-lai-4189700.html
Đường sắt Sài Gòn giảm 50% giá vé,"Thứ tư, 11/11/2020, 09:08 (GMT+7)",https://vnexpress.net/duong-sat-sai-gon-giam-50-gia-ve-4189725.html
Indonesia bị chỉ trích vì xây công viên kỷ Jura,"Thứ tư, 11/11/2020, 08:09 (GMT+7)",https://vnexpress.net/indonesia-bi-chi-trich-vi-xay-cong-vien-ky-jura-4189573.html
Gợi ý cho du khách vào Ngày độc thân,"Thứ tư, 11/11/2020, 07:37 (GMT+7)",https://vnexpress.net/goi-y-cho-du-khach-vao-ngay-doc-than-4189843.html
Vietravel tặng quà tri ân trị giá tới 14 triệu đồng,"Thứ tư, 11/11/2020, 13:42 (GMT+7)",https://vnexpress.net/vietravel-tang-qua-tri-an-tri-gia-toi-14-trieu-dong-4189115.html
Ai tạo ra mùi thơm đặc trưng trong các khách sạn?,"Thứ ba, 10/11/2020, 20:03 (GMT+7)",https://vnexpress.net/ai-tao-ra-mui-thom-dac-trung-trong-cac-khach-san-4189402.html
Khách Trung Quốc đổ xô ăn mì ngày Biden đắc cử,"Thứ ba, 10/11/2020, 11:00 (GMT+7)",https://vnexpress.net/khach-trung-quoc-do-xo-an-mi-ngay-biden-dac-cu-4189426.html
Nơi cây mọc ngược từ lòng hồ,"Thứ ba, 10/11/2020, 10:09 (GMT+7)",https://vnexpress.net/noi-cay-moc-nguoc-tu-long-ho-4189181.html
Biển Hà Tĩnh ngập rác sau lũ,"Thứ ba, 10/11/2020, 14:05 (GMT+7)",https://vnexpress.net/bien-ha-tinh-ngap-rac-sau-lu-4189489.html
Tương lai ngành du lịch ra sao dưới thời Joe Biden?,"Thứ ba, 10/11/2020, 00:09 (GMT+7)",https://vnexpress.net/tuong-lai-nganh-du-lich-ra-sao-duoi-thoi-joe-biden-4188888.html
Tặng vé máy bay khứ hồi cho hành khách Hà Nội,"Thứ ba, 10/11/2020, 07:37 (GMT+7)",https://vnexpress.net/tang-ve-may-bay-khu-hoi-cho-hanh-khach-ha-noi-4189155.html
Vietnam Airlines có trải nghiệm khách hàng xuất sắc Việt Nam,"Thứ ba, 10/11/2020, 15:00 (GMT+7)",https://vnexpress.net/vietnam-airlines-co-trai-nghiem-khach-hang-xuat-sac-viet-nam-4189699.html
Loạt khách sạn đồng hành cùng Hoa hậu Việt Nam 2020,"Thứ ba, 10/11/2020, 11:20 (GMT+7)",https://vnexpress.net/loat-khach-san-dong-hanh-cung-hoa-hau-viet-nam-2020-4188582.html
"9 hoa hậu, á hậu quảng bá du lịch Việt Nam","Thứ hai, 9/11/2020, 14:05 (GMT+7)",https://vnexpress.net/9-hoa-hau-a-hau-quang-ba-du-lich-viet-nam-4188611.html
Tham quan xác tàu Titanic với giá 125.000 USD,"Thứ hai, 9/11/2020, 11:33 (GMT+7)",https://vnexpress.net/tham-quan-xac-tau-titanic-voi-gia-125-000-usd-4188913.html
Tràng An mùa thu,"Thứ hai, 9/11/2020, 02:08 (GMT+7)",https://vnexpress.net/trang-an-mua-thu-4187657.html
Công dụng đích thực của khăn ướt trong nhà hàng Nhật,"Thứ hai, 9/11/2020, 00:05 (GMT+7)",https://vnexpress.net/cong-dung-dich-thuc-cua-khan-uot-trong-nha-hang-nhat-4188420.html
Lâu đài chủ nhân giấu kho báu ngay trước mặt tiền,"Thứ hai, 9/11/2020, 20:03 (GMT+7)",https://vnexpress.net/lau-dai-chu-nhan-giau-kho-bau-ngay-truoc-mat-tien-4189151.html
Thuê phòng ngủ trên máy bay giá 78 USD một đêm,"Thứ hai, 9/11/2020, 19:00 (GMT+7)",https://vnexpress.net/thue-phong-ngu-tren-may-bay-gia-78-usd-mot-dem-4188989.html
Cô gái Việt mê leo núi ở Hàn Quốc,"Thứ hai, 9/11/2020, 15:19 (GMT+7)",https://vnexpress.net/co-gai-viet-me-leo-nui-o-han-quoc-4188943.html
Một ngày đi 7 chùa ở Hưng Yên,"Thứ hai, 9/11/2020, 07:37 (GMT+7)",https://vnexpress.net/mot-ngay-di-7-chua-o-hung-yen-4188367.html
Nhiều khách Mỹ chưa từng nhìn thấy bò,"Thứ hai, 9/11/2020, 08:09 (GMT+7)",https://vnexpress.net/nhieu-khach-my-chua-tung-nhin-thay-bo-4188445.html
Vietnam Airlines ưu đãi ngày độc thân 11/11,"Thứ hai, 9/11/2020, 19:00 (GMT+7)",https://vnexpress.net/vietnam-airlines-uu-dai-ngay-doc-than-11-11-4189229.html
Vợ chồng mới cưới tử nạn trong tuần trăng mật,"Chủ nhật, 8/11/2020, 19:00 (GMT+7)",https://vnexpress.net/vo-chong-moi-cuoi-tu-nan-trong-tuan-trang-mat-4188452.html
Trăng lên trên chùa Som Rong,"Chủ nhật, 8/11/2020, 14:05 (GMT+7)",https://vnexpress.net/trang-len-tren-chua-som-rong-4187928.html
Sân bay Cam Ranh ngừng phát thanh ga quốc nội,"Chủ nhật, 8/11/2020, 12:48 (GMT+7)",https://vnexpress.net/san-bay-cam-ranh-ngung-phat-thanh-ga-quoc-noi-4188321.html
Thứ không thể thiếu để tạo nên món cơm rang hoàn hảo,"Chủ nhật, 8/11/2020, 11:08 (GMT+7)",https://vnexpress.net/thu-khong-the-thieu-de-tao-nen-mon-com-rang-hoan-hao-4188140.html
Yến Trang - Yến Nhi mê đặc sản Hà Nội,"Chủ nhật, 8/11/2020, 15:04 (GMT+7)",https://vnexpress.net/yen-trang-yen-nhi-me-dac-san-ha-noi-4187896.html
"Người Bali đóng học phí bằng dừa, lá cây","Chủ nhật, 8/11/2020, 08:09 (GMT+7)",https://vnexpress.net/nguoi-bali-dong-hoc-phi-bang-dua-la-cay-4188415.html
"48 giờ săn mây, lội thác ở Mai Châu","Chủ nhật, 8/11/2020, 07:37 (GMT+7)",https://vnexpress.net/48-gio-san-may-loi-thac-o-mai-chau-4187360.html
Con đường rợp bóng cau vua,"Chủ nhật, 8/11/2020, 02:08 (GMT+7)",https://vnexpress.net/con-duong-rop-bong-cau-vua-4188447.html
Quảng Ninh tổ chức tuần văn hóa ở huyện miền núi,"Chủ nhật, 8/11/2020, 13:16 (GMT+7)",https://vnexpress.net/quang-ninh-to-chuc-tuan-van-hoa-o-huyen-mien-nui-4188574.html
Khảo sát mức độ hài lòng của khách du lịch Hà Giang,"Chủ nhật, 8/11/2020, 09:00 (GMT+7)",https://vnexpress.net/khao-sat-muc-do-hai-long-cua-khach-du-lich-ha-giang-4179235.html
